step,epoch,train_cnt,avg_reward,avg_q,epsilon,time
2380000,47,2380000,46.8461538462,0.563940058635,0.01,203792.705419
2390000,47,2390000,46.5714285714,0.563597220454,0.01,204521.156173
2400000,48,2400000,46.6511627907,0.563141401313,0.01,205275.683657
2410000,48,2410000,37.4,0.565738001744,0.01,206030.602029
2420000,48,2420000,40.2631578947,0.564343620173,0.01,206763.315783
2430000,48,2430000,42.0714285714,0.562471926622,0.01,207492.995802
2440000,48,2440000,41.7567567568,0.559705127802,0.01,208226.554849
2450000,49,2450000,42.1063829787,0.558390840077,0.01,208969.404666
2460000,49,2460000,46.8888888889,0.555901938771,0.01,209770.704906
2470000,49,2470000,47.9411764706,0.553816119983,0.01,210618.332097
2480000,49,2480000,48.76,0.551002260062,0.01,211517.175758
2490000,49,2490000,47.6764705882,0.550830293557,0.01,212376.362607
2500000,50,2500000,46.6590909091,0.552207861561,0.01,213241.164977
2510000,50,2510000,56.8571428571,0.52837409987,0.01,214214.08452
2520000,50,2520000,50.125,0.540969375388,0.01,215111.579115
